date,state,positive,death
2020-03-26,AZ,508,8
2020-03-26,CA,3899,81
2020-03-26,CO,1430,19
2020-03-26,CT,1012,21
2020-03-26,DC,231,3
2020-03-26,DE,130,1
2020-03-26,FL,2357,29
2020-03-26,GA,1525,48
2020-03-26,GU,45,1
2020-03-26,HI,95,0
2020-03-26,IA,179,1
2020-03-26,ID,146,3
2020-03-26,IL,2538,26
2020-03-26,IN,645,17
2020-03-26,KS,172,3
2020-03-26,KY,247,5
2020-03-26,LA,2304,83
2020-03-26,MA,2417,25
2020-03-26,MD,583,4
2020-03-26,ME,155,0
2020-03-26,MI,2845,61
2020-03-26,MN,344,2
2020-03-26,MO,520,9
2020-03-26,MP,0,0
2020-03-26,MS,485,6
2020-03-26,MT,90,0
2020-03-26,NC,738,3
2020-03-26,ND,51,0
2020-03-26,NE,74,0
2020-03-26,NH,137,1
2020-03-26,NJ,6876,81
2020-03-26,NM,113,1
2020-03-26,NV,420,10
2020-03-26,NY,37877,385
2020-03-26,OH,868,15
2020-03-26,OK,248,7
2020-03-26,OR,316,11
2020-03-26,PA,1795,18
2020-03-26,PR,64,2
2020-03-26,RI,165,0
2020-03-26,SC,424,9
2020-03-26,SD,46,1
2020-03-26,TN,1097,3
2020-03-26,TX,1563,21
2020-03-26,UT,396,1
2020-03-26,VA,466,10
2020-03-26,VT,158,9
2020-03-26,WA,3207,150
2020-03-26,WI,728,10
2020-03-26,WV,52,0
2020-03-26,WY,53,0
2020-03-27,AK,58,1
2020-03-27,AL,587,4
2020-03-27,AR,381,3
2020-03-27,AS,0,0
2020-03-27,AZ,665,13
2020-03-27,CA,4657,94
2020-03-27,CO,1433,27
2020-03-27,CT,1291,27
2020-03-27,DC,271,3
2020-03-27,DE,163,2
2020-03-27,FL,2900,35
2020-03-27,GA,2000,64
2020-03-27,GU,51,1
2020-03-27,HI,106,0
2020-03-27,IA,235,3
2020-03-27,ID,205,3
2020-03-27,IL,3024,34
2020-03-27,IN,979,25
2020-03-27,KS,206,4
2020-03-27,KY,301,7
2020-03-27,LA,2744,119
2020-03-27,MA,3240,35
2020-03-27,MD,775,5
2020-03-27,ME,168,1
2020-03-27,MI,3634,92
2020-03-27,MN,396,4
2020-03-27,MO,666,9
2020-03-27,MP,0,0
2020-03-27,MS,579,8
2020-03-27,MT,109,1
2020-03-27,NC,887,4
2020-03-27,ND,68,1
2020-03-27,NE,82,0
2020-03-27,NH,158,1
2020-03-27,NJ,8825,108
2020-03-27,NM,136,1
2020-03-27,NV,536,10
2020-03-27,NY,44876,527
2020-03-27,OH,1137,19
2020-03-27,OK,322,8
2020-03-27,OR,416,12
2020-03-27,PA,2345,22
2020-03-27,PR,79,3
2020-03-27,RI,203,0
2020-03-27,SC,542,13
2020-03-27,SD,58,1
2020-03-27,TN,1318,6
2020-03-27,TX,1937,26
2020-03-27,UT,472,1
2020-03-27,VA,607,10
2020-03-27,VT,184,10
2020-03-27,WA,3477,157
2020-03-27,WI,926,14
2020-03-27,WV,76,0
2020-03-27,WY,70,0
2020-03-28,AK,85,2
2020-03-28,AL,694,4
2020-03-28,AR,409,5
2020-03-28,AS,0,0
2020-03-28,AZ,773,15
2020-03-28,CA,5095,110
2020-03-28,CO,1740,31
2020-03-28,CT,1524,33
2020-03-28,DC,304,4
2020-03-28,DE,214,5
2020-03-28,FL,3763,54
2020-03-28,GA,2366,69
2020-03-28,GU,55,1
2020-03-28,HI,149,0
2020-03-28,IA,298,3
2020-03-28,ID,234,4
2020-03-28,IL,3491,47
2020-03-28,IN,1233,31
2020-03-28,KS,266,4
2020-03-28,KY,393,9
2020-03-28,LA,3315,137
2020-03-28,MA,4257,44
2020-03-28,MD,995,5
2020-03-28,ME,211,1
2020-03-28,MI,4650,111
2020-03-28,MN,441,5
2020-03-28,MO,836,10
2020-03-28,MP,0,0
2020-03-28,MS,663,13
2020-03-28,MT,129,1
2020-03-28,NC,1020,5
2020-03-28,ND,94,1
2020-03-28,NE,96,2
2020-03-28,NH,187,2
2020-03-28,NJ,11124,140
2020-03-28,NM,208,1
2020-03-28,NV,626,10
2020-03-28,NY,52410,728
2020-03-28,OH,1406,25
2020-03-28,OK,377,15
2020-03-28,OR,479,13
2020-03-28,PA,2845,34
2020-03-28,PR,100,3
2020-03-28,RI,239,2
2020-03-28,SC,660,15
2020-03-28,SD,68,1
2020-03-28,TN,1511,7
2020-03-28,TX,2455,30
2020-03-28,UT,602,1
2020-03-28,VA,740,13
2020-03-28,VT,211,12
2020-03-28,WA,4030,188
2020-03-28,WI,1055,17
2020-03-28,WV,96,0
2020-03-28,WY,82,0
2020-03-29,AK,102,2
2020-03-29,AL,825,10
2020-03-29,AR,426,6
2020-03-29,AS,0,0
2020-03-29,AZ,919,17
2020-03-29,CA,5852,124
2020-03-29,CO,2307,47
2020-03-29,CT,1993,34
2020-03-29,DC,342,5
2020-03-29,DE,232,6
2020-03-29,FL,4246,56
2020-03-29,GA,2651,80
2020-03-29,GU,56,1
2020-03-29,HI,149,0
2020-03-29,IA,336,4
2020-03-29,ID,281,5
2020-03-29,IL,4596,66
2020-03-29,IN,1513,32
2020-03-29,KS,330,7
2020-03-29,KY,438,9
2020-03-29,LA,3540,151
2020-03-29,MA,4955,48
2020-03-29,MD,1239,10
2020-03-29,ME,253,3
2020-03-29,MI,5488,132
2020-03-29,MN,503,9
2020-03-29,MO,915,13
2020-03-29,MP,0,0
2020-03-29,MS,759,14
2020-03-29,MT,154,1
2020-03-29,NC,1191,7
2020-03-29,ND,98,1
2020-03-29,NE,108,2
2020-03-29,NH,214,2
2020-03-29,NJ,13386,161
2020-03-29,NM,237,2
2020-03-29,NV,920,15
2020-03-29,NY,59648,965
2020-03-29,OH,1653,29
2020-03-29,OK,429,16
2020-03-29,OR,548,13
2020-03-29,PA,3432,41
2020-03-29,PR,127,3
2020-03-29,RI,294,3
2020-03-29,SC,774,16
2020-03-29,SD,90,1
2020-03-29,TN,1720,8
2020-03-29,TX,2792,37
2020-03-29,UT,720,2
2020-03-29,VA,890,20
2020-03-29,VT,235,12
2020-03-29,WA,4465,198
2020-03-29,WI,1164,18
2020-03-29,WV,113,0
2020-03-29,WY,86,0
2020-03-30,AK,114,3
2020-03-30,AL,899,10
2020-03-30,AR,473,7
2020-03-30,AS,0,0
2020-03-30,AZ,1157,20
2020-03-30,CA,7138,146
2020-03-30,CO,2311,47
2020-03-30,CT,2571,36
2020-03-30,DC,401,9
2020-03-30,DE,264,6
2020-03-30,FL,5473,63
2020-03-30,GA,2808,87
2020-03-30,GU,58,1
2020-03-30,HI,175,0
2020-03-30,IA,424,6
2020-03-30,ID,340,6
2020-03-30,IL,5056,73
2020-03-30,IN,1786,35
2020-03-30,KS,372,8
2020-03-30,KY,479,11
2020-03-30,LA,4025,185
2020-03-30,MA,5752,56
2020-03-30,MD,1413,15
2020-03-30,ME,275,3
2020-03-30,MI,6498,184
2020-03-30,MN,576,10
2020-03-30,MO,1051,13
2020-03-30,MP,0,0
2020-03-30,MS,847,16
2020-03-30,MT,171,5
2020-03-30,NC,1313,7
2020-03-30,ND,109,2
2020-03-30,NE,145,2
2020-03-30,NH,314,3
2020-03-30,NJ,16636,198
2020-03-30,NM,237,2
2020-03-30,NV,1012,15
2020-03-30,NY,66663,1218
2020-03-30,OH,1933,40
2020-03-30,OK,481,16
2020-03-30,OR,606,16
2020-03-30,PA,4155,50
2020-03-30,PR,174,6
2020-03-30,RI,408,4
2020-03-30,SC,925,18
2020-03-30,SD,101,1
2020-03-30,TN,1917,14
2020-03-30,TX,3147,45
2020-03-30,UT,804,4
2020-03-30,VA,1020,15
2020-03-30,VT,256,12
2020-03-30,WA,4923,205
2020-03-30,WI,1230,20
2020-03-30,WV,145,1
2020-03-30,WY,94,0
2020-03-31,AK,119,3
2020-03-31,AL,987,23
2020-03-31,AR,523,8
2020-03-31,AZ,1289,24
2020-03-31,CA,8210,173
2020-03-31,CO,2966,69
2020-03-31,CT,3128,69
2020-03-31,DC,495,9
2020-03-31,DE,319,10
2020-03-31,FL,6741,85
2020-03-31,GA,3929,111
2020-03-31,GU,69,2
2020-03-31,HI,204,0
2020-03-31,IA,497,7
2020-03-31,ID,515,8
2020-03-31,IL,5994,99
2020-03-31,IN,2158,49
2020-03-31,KS,434,9
2020-03-31,KY,628,11
2020-03-31,LA,5237,239
2020-03-31,MA,6620,89
2020-03-31,MD,1660,18
2020-03-31,ME,303,5
2020-03-31,MI,7615,259
2020-03-31,MN,629,12
2020-03-31,MO,1357,15
2020-03-31,MP,2,0
2020-03-31,MS,937,20
2020-03-31,MT,198,5
2020-03-31,NC,1535,12
2020-03-31,ND,122,3
2020-03-31,NE,172,3
2020-03-31,NH,357,3
2020-03-31,NJ,18696,267
2020-03-31,NM,315,4
2020-03-31,NV,1114,26
2020-03-31,NY,75833,1550
2020-03-31,OH,2199,55
2020-03-31,OK,568,23
2020-03-31,OR,690,18
2020-03-31,PA,4963,63
2020-03-31,PR,239,8
2020-03-31,RI,488,8
2020-03-31,SC,1083,22
2020-03-31,SD,108,1
2020-03-31,TN,2391,23
2020-03-31,TX,3809,54
2020-03-31,UT,888,5
2020-03-31,VA,1249,27
2020-03-31,VT,293,13
2020-03-31,WA,5432,225
2020-03-31,WI,1412,25
2020-03-31,WV,162,1
2020-03-31,WY,109,0
2020-04-01,AK,132,3
2020-04-01,AL,1060,27
2020-04-01,AR,584,10
2020-04-01,AZ,1530,29
2020-04-01,CA,9399,199
2020-04-01,CO,2982,69
2020-04-01,CT,3557,85
2020-04-01,DC,586,9
2020-04-01,DE,368,11
2020-04-01,FL,6956,87
2020-04-01,GA,4638,139
2020-04-01,HI,224,1
2020-04-01,IA,547,9
2020-04-01,ID,566,9
2020-04-01,IL,6980,141
2020-04-01,IN,2564,65
2020-04-01,KS,485,10
2020-04-01,KY,632,18
2020-04-01,LA,6424,273
2020-04-01,MA,7738,122
2020-04-01,MD,1986,31
2020-04-01,ME,303,5
2020-04-01,MI,9315,335
2020-04-01,MN,689,17
2020-04-01,MO,1613,18
2020-04-01,MS,1073,22
2020-04-01,MT,208,6
2020-04-01,NC,1675,14
2020-04-01,ND,142,3
2020-04-01,NE,210,4
2020-04-01,NH,367,3
2020-04-01,NJ,22255,355
2020-04-01,NM,340,5
2020-04-01,NV,1279,31
2020-04-01,NY,83948,1941
2020-04-01,OH,2547,65
2020-04-01,OK,721,30
2020-04-01,OR,736,19
2020-04-01,PA,6009,74
2020-04-01,RI,566,10
2020-04-01,SC,1293,26
2020-04-01,SD,129,2
2020-04-01,TN,2933,24
2020-04-01,TX,4355,66
2020-04-01,UT,888,5
2020-04-01,VA,1483,34
2020-04-01,VT,321,16
2020-04-01,WA,5608,234
2020-04-01,WI,1556,27
2020-04-01,WV,191,1
2020-04-01,WY,130,0
2020-04-02,AK,143,3
2020-04-02,AL,1233,32
2020-04-02,AR,643,12
2020-04-02,AZ,1715,32
2020-04-02,CA,10773,238
2020-04-02,CO,3342,80
2020-04-02,CT,3824,112
2020-04-02,DC,653,12
2020-04-02,DE,393,12
2020-04-02,FL,9008,164
2020-04-02,GA,5348,163
2020-04-02,GU,82,3
2020-04-02,HI,256,1
2020-04-02,IA,614,11
2020-04-02,ID,776,9
2020-04-02,IL,7695,163
2020-04-02,IN,3038,78
2020-04-02,KS,553,12
2020-04-02,KY,770,31
2020-04-02,LA,9159,310
2020-04-02,MA,8966,154
2020-04-02,MD,2331,36
2020-04-02,ME,376,7
2020-04-02,MI,10791,417
2020-04-02,MN,742,18
2020-04-02,MO,1857,22
2020-04-02,MP,6,1
2020-04-02,MS,1177,26
2020-04-02,MT,241,6
2020-04-02,NC,1977,21
2020-04-02,ND,159,3
2020-04-02,NE,246,5
2020-04-02,NH,316,3
2020-04-02,NJ,25590,537
2020-04-02,NM,388,6
2020-04-02,NV,1463,38
2020-04-02,NY,92506,2373
2020-04-02,OH,2901,81
2020-04-02,OK,881,34
2020-04-02,OR,826,21
2020-04-02,PA,7268,90
2020-04-02,PR,316,12
2020-04-02,RI,657,12
2020-04-02,SC,1554,31
2020-04-02,SD,165,2
2020-04-02,TN,2845,36
2020-04-02,TX,5069,77
2020-04-02,UT,1092,7
2020-04-02,VA,1706,41
2020-04-02,VT,338,17
2020-04-02,WA,6389,271
2020-04-02,WI,1748,38
2020-04-02,WV,216,2
2020-04-02,WY,150,0
2020-04-03,AK,147,3
2020-04-03,AL,1454,38
2020-04-03,AR,687,12
2020-04-03,AZ,1937,41
2020-04-03,CA,11889,264
2020-04-03,CO,3742,97
2020-04-03,CT,4914,131
2020-04-03,DC,757,15
2020-04-03,DE,450,14
2020-04-03,FL,9585,163
2020-04-03,GA,5831,184
2020-04-03,HI,285,2
2020-04-03,IA,699,11
2020-04-03,ID,891,9
2020-04-03,IL,8904,210
2020-04-03,IN,3437,102
2020-04-03,KS,620,17
2020-04-03,KY,770,31
2020-04-03,LA,10297,370
2020-04-03,MA,10402,192
2020-04-03,MD,2758,43
2020-04-03,ME,432,9
2020-04-03,MI,12744,479
2020-04-03,MN,788,22
2020-04-03,MO,1864,25
2020-04-03,MP,2,0
2020-04-03,MS,1358,29
2020-04-03,MT,243,5
2020-04-03,NC,2207,25
2020-04-03,ND,173,3
2020-04-03,NE,279,6
2020-04-03,NH,479,5
2020-04-03,NJ,29895,646
2020-04-03,NM,442,7
2020-04-03,NV,1514,43
2020-04-03,NY,102985,2935
2020-04-03,OH,3312,91
2020-04-03,OK,990,38
2020-04-03,OR,826,21
2020-04-03,PA,8570,102
2020-04-03,RI,711,14
2020-04-03,SC,1554,31
2020-04-03,SD,187,2
2020-04-03,TN,3067,41
2020-04-03,TX,5636,97
2020-04-03,UT,1095,7
2020-04-03,VA,2012,46
2020-04-03,VT,389,17
2020-04-03,WA,6670,307
2020-04-03,WI,2006,50
2020-04-03,WV,237,2
2020-04-03,WY,162,0
2020-04-04,AK,171,5
2020-04-04,AL,1580,43
2020-04-04,AR,743,12
2020-04-04,AZ,2187,52
2020-04-04,CA,12764,288
2020-04-04,CO,4181,111
2020-04-04,CT,5276,165
2020-04-04,DC,902,21
2020-04-04,DE,593,14
2020-04-04,FL,11545,195
2020-04-04,GA,6160,201
2020-04-04,HI,319,3
2020-04-04,IA,787,14
2020-04-04,ID,1022,10
2020-04-04,IL,10357,244
2020-04-04,IN,3953,116
2020-04-04,KS,698,21
2020-04-04,KY,891,40
2020-04-04,LA,12496,409
2020-04-04,MA,11736,206
2020-04-04,MD,3125,54
2020-04-04,ME,456,10
2020-04-04,MI,14225,540
2020-04-04,MN,865,24
2020-04-04,MO,2310,33
2020-04-04,MP,2,0
2020-04-04,MS,1455,35
2020-04-04,MT,265,6
2020-04-04,NC,2479,32
2020-04-04,ND,186,3
2020-04-04,NE,321,6
2020-04-04,NH,540,7
2020-04-04,NJ,34124,846
2020-04-04,NM,534,10
2020-04-04,NV,1742,46
2020-04-04,NY,113833,3565
2020-04-04,OH,3739,102
2020-04-04,OK,1161,42
2020-04-04,OR,899,22
2020-04-04,PA,10444,136
2020-04-04,RI,806,17
2020-04-04,SC,1917,40
2020-04-04,SD,212,2
2020-04-04,TN,3322,50
2020-04-04,TX,6555,116
2020-04-04,UT,1435,9
2020-04-04,VA,2407,52
2020-04-04,VT,461,20
2020-04-04,WA,7110,299
2020-04-04,WI,2030,54
2020-04-04,WV,282,2
2020-04-04,WY,187,0
2020-04-05,AK,185,6
2020-04-05,AL,1765,45
2020-04-05,AR,819,14
2020-04-05,AZ,2486,64
2020-04-05,CA,14716,339
2020-04-05,CO,4569,126
2020-04-05,CT,5675,189
2020-04-05,DC,1002,22
2020-04-05,DE,593,14
2020-04-05,FL,12151,218
2020-04-05,GA,6647,211
2020-04-05,HI,351,4
2020-04-05,IA,869,18
2020-04-05,ID,1078,10
2020-04-05,IL,11259,274
2020-04-05,IN,4411,127
2020-04-05,KS,751,22
2020-04-05,KY,917,40
2020-04-05,LA,13010,477
2020-04-05,MA,12500,227
2020-04-05,MD,3617,67
2020-04-05,ME,470,10
2020-04-05,MI,15718,617
2020-04-05,MN,935,29
2020-04-05,MO,2347,44
2020-04-05,MP,2,0
2020-04-05,MS,1638,43
2020-04-05,MT,286,6
2020-04-05,NC,2646,37
2020-04-05,ND,207,3
2020-04-05,NE,364,8
2020-04-05,NH,621,9
2020-04-05,NJ,37505,917
2020-04-05,NM,589,11
2020-04-05,NV,1836,46
2020-04-05,NY,122916,4159
2020-04-05,OH,4043,119
2020-04-05,OK,1254,46
2020-04-05,OR,1068,27
2020-04-05,PA,11589,151
2020-04-05,RI,922,25
2020-04-05,SC,2049,44
2020-04-05,SD,240,2
2020-04-05,TN,3633,53
2020-04-05,TX,7120,133
2020-04-05,UT,1608,8
2020-04-05,VA,2640,52
2020-04-05,VT,512,22
2020-04-05,WA,7809,327
2020-04-05,WI,2278,68
2020-04-05,WV,324,3
2020-04-05,WY,197,0
2020-04-06,AK,137,6
2020-04-06,AL,1952,49
2020-04-06,AR,875,16
2020-04-06,AZ,2732,65
2020-04-06,CA,15450,359
2020-04-06,CO,4950,141
2020-04-06,CT,6906,206
2020-04-06,DC,1097,24
2020-04-06,DE,673,14
2020-04-06,FL,13324,236
2020-04-06,GA,7314,229
2020-04-06,HI,371,4
2020-04-06,IA,946,25
2020-04-06,ID,1101,10
2020-04-06,IL,12262,307
2020-04-06,IN,4956,143
2020-04-06,KS,849,25
2020-04-06,KY,955,45
2020-04-06,LA,14867,512
2020-04-06,MA,13837,260
2020-04-06,MD,4045,91
2020-04-06,ME,499,10
2020-04-06,MI,17221,727
2020-04-06,MN,986,31
2020-04-06,MO,2735,39
2020-04-06,MP,2,0
2020-04-06,MS,1738,51
2020-04-06,MT,299,6
2020-04-06,NC,2929,44
2020-04-06,ND,225,3
2020-04-06,NE,409,8
2020-04-06,NH,669,9
2020-04-06,NJ,41090,1003
2020-04-06,NM,695,12
2020-04-06,NV,1953,46
2020-04-06,NY,131569,4758
2020-04-06,OH,4453,142
2020-04-06,OK,1329,51
2020-04-06,OR,1068,27
2020-04-06,PA,13127,179
2020-04-06,RI,1082,27
2020-04-06,SC,2049,44
2020-04-06,SD,288,4
2020-04-06,TN,3802,65
2020-04-06,TX,7837,148
2020-04-06,UT,1685,13
2020-04-06,VA,2878,66
2020-04-06,VT,543,23
2020-04-06,WA,8133,366
2020-04-06,WI,2449,78
2020-04-06,WV,345,4
2020-04-06,WY,210,0
2020-04-07,AK,213,6
2020-04-07,AL,2169,64
2020-04-07,AR,946,18
2020-04-07,AZ,2870,73
2020-04-07,CA,17351,432
2020-04-07,CO,5429,179
2020-04-07,CT,7781,277
2020-04-07,DC,1211,22
2020-04-07,DE,928,16
2020-04-07,FL,14545,283
2020-04-07,GA,8822,329
2020-04-07,GU,121,4
2020-04-07,HI,410,5
2020-04-07,IA,1046,25
2020-04-07,ID,1170,13
2020-04-07,IL,12271,308
2020-04-07,IN,5510,173
2020-04-07,KS,912,29
2020-04-07,KY,1149,65
2020-04-07,LA,16284,582
2020-04-07,MA,15202,356
2020-04-07,MD,4371,103
2020-04-07,ME,519,12
2020-04-07,MI,18970,845
2020-04-07,MN,1069,34
2020-04-07,MO,3130,65
2020-04-07,MP,8,2
2020-04-07,MS,1915,60
2020-04-07,MT,319,6
2020-04-07,NC,3299,53
2020-04-07,ND,237,4
2020-04-07,NE,447,10
2020-04-07,NH,715,9
2020-04-07,NJ,44416,1232
2020-04-07,NM,876,13
2020-04-07,NV,2124,72
2020-04-07,NY,139875,5489
2020-04-07,OH,4782,167
2020-04-07,OK,1474,67
2020-04-07,OR,1132,29
2020-04-07,PA,14853,247
2020-04-07,PR,573,23
2020-04-07,RI,1229,30
2020-04-07,SC,2417,51
2020-04-07,SD,320,6
2020-04-07,TN,4139,72
2020-04-07,TX,8925,160
2020-04-07,UT,1746,13
2020-04-07,VA,3335,66
2020-04-07,VT,575,23
2020-04-07,WA,8692,400
2020-04-07,WI,2578,92
2020-04-07,WV,412,4
2020-04-07,WY,216,0
2020-04-08,AK,226,7
2020-04-08,AL,2328,66
2020-04-08,AR,1000,18
2020-04-08,AZ,3036,80
2020-04-08,CA,18897,495
2020-04-08,CO,5655,193
2020-04-08,CT,7781,326
2020-04-08,DC,1440,27
2020-04-08,DE,1116,19
2020-04-08,FL,15456,309
2020-04-08,GA,9901,362
2020-04-08,GU,121,4
2020-04-08,HI,410,5
2020-04-08,IA,1145,27
2020-04-08,ID,1210,15
2020-04-08,IL,15078,462
2020-04-08,IN,5943,203
2020-04-08,KS,1046,34
2020-04-08,KY,1149,65
2020-04-08,LA,17030,652
2020-04-08,MA,16790,433
2020-04-08,MD,5529,124
2020-04-08,ME,537,14
2020-04-08,MI,20346,959
2020-04-08,MN,1154,39
2020-04-08,MO,3209,86
2020-04-08,MP,11,2
2020-04-08,MS,2003,67
2020-04-08,MT,332,6
2020-04-08,NC,3499,66
2020-04-08,ND,251,4
2020-04-08,NE,519,12
2020-04-08,NH,747,13
2020-04-08,NJ,47437,1504
2020-04-08,NM,902,13
2020-04-08,NV,2259,72
2020-04-08,NY,151061,6268
2020-04-08,OH,5148,193
2020-04-08,OK,1526,79
2020-04-08,OR,1181,33
2020-04-08,PA,16631,318
2020-04-08,PR,620,24
2020-04-08,RI,1450,35
2020-04-08,SC,2417,51
2020-04-08,SD,393,6
2020-04-08,TN,4363,80
2020-04-08,TX,9777,189
2020-04-08,UT,1855,13
2020-04-08,VA,3645,66
2020-04-08,VT,605,23
