state,county,population,lat,long,date,type,value
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-22,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-22,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-23,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-23,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-24,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-24,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-25,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-25,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-26,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-26,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-27,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-27,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-28,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-28,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-29,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-29,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-30,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-30,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-31,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-01-31,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-01,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-01,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-02,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-02,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-03,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-03,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-04,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-04,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-05,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-05,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-06,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-06,deaths,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-07,cases,0
WA,Kitsap,269805,47.6719585,-122.7433825,2020-02-07,deaths,0
